name,Min,Sh,SoT,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,injured games
Borja Mayoral,90.0,4.848878205128205,2.6889823717948715,82.75236378205128,31.479326923076925,0.8884615384615385,0.0,0.875,0.5597756410256409,0.5597756410256409,0.06602564102564103,1.4639823717948717,0.4884615384615385,61.16734775641026,64.14210737179486,89.65833333333332,238.70436698717944,53.619631410256396,84.79206730769229,2.217628205128205,2.6342948717948715,0
Borja Valero,90.0,0.8069956386081731,0.3783198839830514,82.96387199390135,18.17527925856196,1.82917357647186,0.5504364271779133,0.6496546978268811,0.07489946712624551,0.07489946712624551,0.06406453017954171,2.8851723471796697,0.027777777777777776,67.72175696568219,74.7715909299594,90.06388888888887,304.60472391782235,63.69028778691456,195.48511922974456,1.2115961409994378,1.5696806362681297,3
Borja Valle,90.0,3.1282097868217056,1.375,63.57951849590533,29.351089394850675,1.6640625,1.2083333333333333,0.828125,0.2969961240310077,0.2969961240310077,2.5389270613107824,7.981976440426719,0.8872794707297514,33.314153779677284,49.866004167577934,71.23125,160.18279761579305,44.35339454843139,201.74964820873126,2.145091970729752,2.496654470729752,6
Bostjan Cesar,90.0,0.6666666666666666,0.0,46.900584795321635,9.608187134502923,0.8888888888888888,0.5555555555555556,1.9415204678362568,0.06666666666666668,0.06666666666666668,0.0,0.2222222222222222,0.0,27.27485380116959,36.26900584795322,70.3888888888889,218.16959064327492,21.859649122807017,74.6374269005848,0.0,0.0,4
Boubacar Kamara,90.0,0.3333333333333333,0.16666666666666666,72.86274509803921,18.0,4.862745098039214,0.6764705882352939,1.3627450980392155,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.6666666666666666,0.3333333333333333,48.69607843137255,59.24509803921569,81.7666666666667,298.15686274509807,42.382352941176464,90.11764705882356,0.3333333333333333,0.8529411764705882,0
Bouna Sarr,90.0,1.2227063749878586,0.5118768819003011,91.06449053142656,15.92588251291378,3.2888597674358184,1.6789303801946294,2.2264799749430897,0.1328203412512546,0.1328203412512546,0.14057690699230513,3.741318962376216,0.4081632653061225,54.19991819570353,67.99108849455217,80.73928571428569,292.12024482214525,67.37354067505994,333.1013276690775,7.485233516483516,8.822053678171946,1
Bram Nuytinck,90.0,0.5185185185185185,0.037037037037037035,58.33862433862434,11.693121693121693,2.3809523809523805,1.6666666666666667,2.592592592592593,0.04074074074074074,0.04074074074074074,0.014814814814814815,0.3333333333333333,0.14814814814814814,39.85185185185185,46.407407407407405,84.8037037037037,273.84656084656086,33.994708994708986,87.45502645502646,0.037037037037037035,0.07407407407407407,1
Brandon,90.0,1.120879120879121,0.6747252747252748,58.68537398085785,24.70806097128677,2.3388940092165886,2.085714285714286,2.7142857142857144,0.06747252747252748,0.06747252747252748,0.1744615384615385,3.743509393831975,0.0,28.619276852180075,42.187167671038644,69.22,54.544927330733785,43.687827011697976,224.34662885501598,0.1,0.5903225806451613,0
Branimir Hrgota,90.0,0.7986622073578595,0.5217391304347826,38.623040241665784,40.64272737080592,2.2368756068615823,0.0,0.2608695652173913,0.052173913043478265,0.052173913043478265,0.052173913043478265,6.798662207357861,0.0,16.125079296579994,29.05729636422484,58.34,22.51023411371237,32.350001078865034,54.55842917251052,0.814715719063545,0.814715719063545,0
Breel Embolo,90.0,2.8948647414582767,1.5828975049232037,46.75172770922008,25.663249461484604,1.9861669916788087,0.6637458926615553,1.0998995983935742,0.4754335640632746,0.4754335640632746,0.09411764705882353,3.1509245538302952,0.394971189104243,20.3735437738342,26.68410996403016,76.00434782608697,108.73871338657335,35.74259800994618,149.48332668061198,2.7388253469432406,6.8078405381428215,24
Bright Gyamfi,90.0,1.5,1.25,66.3570314125234,15.167750156022468,1.3421052631578947,3.081235697940504,0.625,0.0,0.0,0.0,0.7171052631578947,0.0,42.197056376118155,55.11262221759935,75.3625,246.39211046390682,33.314385271479104,134.14998959850215,0.75,1.8421052631578947,0
Brighton Labeau,90.0,0.0,0.0,19.471153846153847,31.15384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.548076923076925,12.548076923076925,100.0,24.230769230769234,12.548076923076925,138.46153846153842,0.0,3.4615384615384617,0
Brown Ideye,90.0,1.127344305451471,0.25702811244979923,34.19108916342588,20.57283366073791,0.16666666666666666,0.25,0.34868421052631576,0.15663899617609192,0.15663899617609192,0.03333333333333333,1.2024138142559195,0.0,14.901789897905939,20.815315180486394,73.75833333333334,44.34240827867968,24.51194989749207,39.697947661089714,1.4857577161794029,1.9024243828460687,1
Bruma,90.0,2.5361753786987107,0.9438017124352528,67.27747991152619,15.667918042155602,0.6216754260232521,1.1720893251996622,1.7566207591878436,0.12061914509393502,0.12061914509393502,0.15777643486245388,3.218824841010688,0.18112244897959184,39.7452448630746,51.35333251657881,78.17499999999998,155.9833246412025,58.42669627062629,294.11977576928695,4.9287865862690445,7.875876793004638,1
Bruno,90.0,0.0804494382022472,0.04,60.40650162450815,5.721970497787822,1.415104895104895,1.767557603686636,1.9327768860353132,0.0040449438202247185,0.0040449438202247185,0.04804494382022472,0.9165784704603116,0.08,40.20708951070677,52.2955927725772,76.26400000000002,335.60420074307723,36.172148518389896,78.6310283844463,0.5604494382022471,0.9676521231577412,0
