,name,Round,Min,Sh,SoT,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1
79,Mats-Hummels-,Group stage,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
80,Mats-Hummels-,Matchweek 7,90,3,1,64,6,0,4,0,0.3,0.3,0.0,0,0,46,55,83.6,324,42,162,0,0
81,Mats-Hummels-,First round,90,,,,,,,,,,,,,,,,,,,,
82,Mats-Hummels-,First round,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
83,Mats-Hummels-,Matchweek 8,90,0,0,130,0,0,2,0,0.0,0.0,0.0,6,1,115,126,91.3,1100,108,279,0,0
84,Mats-Hummels-,Group stage,90,2,1,,,,2,,,,,,,,,,,,,,
85,Mats-Hummels-,Matchweek 9,90,1,0,107,4,1,0,3,0.1,0.1,0.0,3,0,80,90,88.9,643,79,293,0,0
86,Mats-Hummels-,Second round,120,0,0,,,,4,,,,,,,,,,,,,,
87,Mats-Hummels-,Matchweek 10,90,1,0,118,10,1,4,0,0.0,0.0,0.0,2,0,102,109,93.6,827,99,383,0,0
88,Mats-Hummels-,Group stage,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
89,Mats-Hummels-,Matchweek 11,90,0,0,71,9,1,5,1,0.0,0.0,0.0,0,0,45,60,75.0,395,49,151,0,0
90,Mats-Hummels-,Friendlies (M),90,,,,,,,,,,,,,,,,,,,,
91,Mats-Hummels-,Friendlies (M),45,,,,,,,,,,,,,,,,,,,,
92,Mats-Hummels-,Matchweek 12,90,3,0,98,2,0,1,1,0.2,0.2,0.0,2,1,71,81,87.7,501,74,275,0,0
93,Mats-Hummels-,Group stage,3,1,0,,,,0,,,,,,,,,,,,,,
94,Mats-Hummels-,Matchweek 13,90,3,1,95,10,2,2,5,0.1,0.1,0.0,1,0,78,83,94.0,671,70,210,1,1
95,Mats-Hummels-,Matchweek 14,90,2,0,83,10,3,4,2,0.1,0.1,0.0,2,0,64,72,88.9,479,65,267,0,0
96,Mats-Hummels-,Group stage,90,1,0,,,,2,,,,,,,,,,,,,,
97,Mats-Hummels-,Matchweek 15,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
98,Mats-Hummels-,Matchweek 16,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
99,Mats-Hummels-,Matchweek 17,68,1,0,46,7,2,4,2,0.0,0.0,0.0,1,0,26,32,81.3,275,17,33,1,1
100,Mats-Hummels-,,,,,,,,,,,,,,,,,,,,,,
101,Mats-Hummels-,Matchweek 21,90,0,0,91,20,4,1,6,0.0,0.0,0.0,1,0,60,73,82.2,526,60,315,2,2
102,Mats-Hummels-,Quarter-finals,90,0,0,,,,3,,,,,,,,,,,,,,
