,0
Pepe Reina,[]
Diego Farias,"['\xa0Muscle Fatigue', 'not in squad', '\xa0Calf Problems', '\xa0Calf Problems', '\xa0Calf Problems', '\xa0Calf Problems', '\xa0Calf Problems', '\xa0Calf Problems', '\xa0Calf Problems', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Muscle Injury', 'not in squad', '\xa0Muscle Fatigue', 'not in squad']"
Andrea Barberis,[]
Sebastián Cristóforo,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Nikola Ninkovic,"['not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Unknown Injury', '\xa0Unknown Injury', '\xa0Unknown Injury', '\xa0Unknown Injury', 'not in squad']"
Karlo Butic,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Nikola Kalinic,"['\xa0Yellow card suspension', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Red card suspension', '\xa0Red card suspension']"
Alessandro Gamberini,"['\xa0Calf Injury', '\xa0Calf Injury', '\xa0Calf Injury', 'not in squad']"
Douglas Costa,"['\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', 'not in squad', '\xa0Hamstring Injury']"
Vincenzo Millico,"['\xa0Red card suspension', '\xa0Red card suspension', '\xa0Indirect card suspension', '\xa0Yellow card suspension']"
Antonio Caracciolo,"['\xa0Red card suspension', 'not in squad', 'not in squad']"
Valentin Eysseric,"['not in squad', 'not in squad', 'not in squad', '\xa0Medial Collateral Ligament Injury', '\xa0Medial Collateral Ligament Injury', '\xa0Medial Collateral Ligament Injury', '\xa0Medial Collateral Ligament Injury', '\xa0Medial Collateral Ligament Injury', 'not in squad', 'not in squad', '\xa0Medial Collateral Ligament Injury', '\xa0Medial Collateral Ligament Injury']"
