,0
Chema,"['not in squad', '\xa0Yellow card suspension', '\xa0Torn Muscle Fibre', '\xa0Torn Muscle Fibre', '\xa0Torn Muscle Fibre', '\xa0Torn Muscle Fibre', 'not in squad', 'not in squad']"
Francisco Portillo,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Imanol Sarriegi,[]
Iván Alejo,"['not in squad', 'not in squad', '\xa0Red card suspension', '\xa0Red card suspension', '\xa0Red card suspension', '\xa0Red card suspension', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Armando Sadiku,"['\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury', 'not in squad', '\xa0Unknown Injury', '\xa0Indirect card suspension', '\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury']"
Diego Godín,"['\xa0Groin Injury', '\xa0Sprained ankle', '\xa0Groin Injury', '\xa0Groin Injury', '\xa0Yellow card suspension', '\xa0Yellow card suspension', '\xa0Indirect card suspension', 'Suspension through sports court', 'not in squad', 'not in squad']"
Dani Gallardo,[]
Álvaro González,"['not in squad', '\xa0Muscular problems', '\xa0Yellow card suspension']"
Gerard Gumbau,"['not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Yellow card suspension', '\xa0Yellow card suspension']"
Marc Cucurella,[]
Ander Iturraspe,"['\xa0Muscle Injury', 'not in squad', 'not in squad', '\xa0Muscle Injury', '\xa0Muscle Injury', 'not in squad', 'not in squad', '\xa0Indirect card suspension']"
Gabriel Mercado,"['\xa0Yellow card suspension', 'not in squad', '\xa0Yellow card suspension', 'not in squad', '\xa0Knee Injury', '\xa0Yellow card suspension', 'not in squad']"
Cristian Tello,"['not in squad', 'not in squad']"
David Zurutuza,"['\xa0Muscle Injury', 'not in squad', 'not in squad', '\xa0Ankle problems', '\xa0Ankle problems', '\xa0Indirect card suspension']"
Adnan Januzaj,"['\xa0Ankle Injury', '\xa0Ankle Injury', '\xa0Ankle Injury', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Ankle Injury']"
Zakaria Bakkali,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Andrew Hjulsager,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Guilherme Arana,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Simone Zaza,"['not in squad', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', 'not in squad', 'not in squad', '\xa0Yellow card suspension', 'not in squad', 'not in squad', 'not in squad']"
Imoh Ezekiel,"['not in squad', 'no information available', 'no information available', 'no information available', 'no information available', 'no information available', 'no information available']"
Javier Mascherano,"['\xa0Achilles tendon problems', '\xa0Thigh Muscle Strain', '\xa0Yellow card suspension', '\xa0Achilles tendon problems', '\xa0Achilles tendon problems', '\xa0Achilles tendon problems', '\xa0Calf Injury', '\xa0Hamstring Injury', '\xa0Red card suspension']"
Pedro León,"['\xa0Yellow card suspension', 'not in squad']"
Maksym Koval,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Florin Andone,"['\xa0Yellow card suspension', '\xa0Achilles tendon problems', '\xa0Achilles tendon problems']"
Quique Fornos,[]
