0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Vincent Janssen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diafra Sakho,,,,,,,,, Back Injury, Back Injury,,,,,,,,,,,not in squad,not in squad,not in squad,not in squad,,,,,,,,,,,,,,
Kristoffer Nordfeldt,,,,,,,,,,,,,,,,not in squad,not in squad,,,,,,,,,,,,,,,,not in squad,,,,,
Abdelhamid Sabiri,,,not in squad,,,,,,,not in squad,not in squad,,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,not in squad,not in squad,,,not in squad,,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,
Massadio Haidara,not in squad,not in squad,not in squad, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury,not in squad,With the 2nd team,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,not in squad,not in squad,,,,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,not in squad,not in squad,not in squad,not in squad,not in squad,,
Joel Pereira,not in squad,With the 2nd team,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,not in squad,With the 2nd team,not in squad,not in squad,,,not in squad,not in squad,,,,,,not in squad,
Antonio Valencia,,,,,,,,,,,,,,,,,,, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury,,,,,,,,,,,,,not in squad,,not in squad,
Shaun Hobson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Oxlade-Chamberlain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture
Kevin Mirallas,,,special leave,,,not in squad,not in squad,,,,not in squad,not in squad,,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,,,,,,,,,,,,,,
José Holebas,,, Indirect card suspension,,,,,,,,,,not in squad,not in squad,not in squad,,,,,,,,,not in squad,,,,,,,,,,not in squad,,,,
Aleksandar Dragovic,,,,not in squad,,not in squad,not in squad,not in squad,not in squad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not in squad
Steve Cook,,,,,not in squad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel Tuanzebe,not in squad,With the 2nd team,With the 2nd team,not in squad,not in squad,not in squad,not in squad,,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,,not in squad,not in squad,,,,,,,,,,,,,,
Ben Foster,,,,,,,,not in squad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eddie Nketiah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Gomez,,,,,not in squad,,,,,,,,,,not in squad,,,,,,,,,,,not in squad,not in squad,,,,, Ankle Injury, Ankle Injury, Ankle Injury,,,not in squad, Ankle Surgery
Willy Caballero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xherdan Shaqiri,,,,,,,,,not in squad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sadio Mané,,,,, Red card suspension, Red card suspension,, Hamstring Injury, Hamstring Injury, Hamstring Injury,,,,,,,,,,,,,,,,,,,,,,,,,,not in squad,,
Manuel Lanzini, Knee Injury, Knee Injury,, Knee Injury, Knee Injury, Knee Injury,,,,,,,,,,,,,Suspension through sports court,,,,,, Hamstring Injury, Hamstring Injury, Hamstring Injury,,,,,not in squad,not in squad,,,,,
Nathan Aké,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leroy Fer,,,,,,,,, Yellow card suspension,,,,,,,,,,not in squad,,,,,,,, Achilles tendon surgery, Achilles tendon surgery, Achilles tendon surgery, Achilles tendon surgery, Achilles tendon surgery, Achilles tendon surgery, Achilles tendon surgery, Achilles tendon surgery, Achilles tendon surgery, Achilles tendon surgery, Achilles tendon surgery, Achilles tendon surgery
Robbie Brady,,,,,,,,,,,,,,,, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury
Orestis Karnezis,,,,,,,,,,,,,,,,,,,not in squad,not in squad,,,,,,,,,,,,,,,,,,not in squad
Mark Noble,,,,not in squad,not in squad,,,,,,,,,,not in squad,,,, Unknown Injury, Unknown Injury,,,,,,,,,,,,,,,,,,
Étienne Capoue,,,,,,,,,,,,,,,,,,,,,,,not in squad,,,,,,,,,,,,,,,not in squad
Sergio Romero,,,,,,,,,,,,,,,,,,,,,,, Minor Knock,,,,, Knock, Knock,,, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury,,
Ali Gabr,,,,,,,,,,,,,,,,,,,,,,,,,No eligibility,No eligibility,No eligibility,not in squad,not in squad,not in squad,not in squad,,With the U21s,,not in squad,not in squad,not in squad,not in squad
Anthony Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan Schneiderlin,,, Indirect card suspension,,,,,,not in squad,,not in squad,,,,,,,,,,,,,,,,,,,not in squad,,,,,,,,
Charlie Austin,,,,,not in squad,,,,,not in squad,,,,,,,,,,Suspension through sports court,Suspension through sports court,Suspension through sports court, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury,,,,,,,,
Tosin Adarabioyo,not in squad,not in squad,not in squad,not in squad,not in squad,With the 2nd team,not in squad,With the 2nd team,With the 2nd team,With the 2nd team,not in squad,With the 2nd team,With the 2nd team,not in squad,not in squad,With the 2nd team,With the 2nd team,not in squad,not in squad,,,not in squad,not in squad,,,,not in squad,not in squad,not in squad,With the 2nd team,,,With the 2nd team,not in squad,not in squad,With the 2nd team,not in squad,not in squad
