0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Lukasz Piszczek,0,0,0,0,0,0,0, Ruptured knee ligament, Ruptured knee ligament, Ruptured knee ligament, Ruptured knee ligament, Ruptured knee ligament, Ruptured knee ligament, Ruptured knee ligament, Ruptured knee ligament, Ruptured knee ligament, Ruptured knee ligament,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dong-won Ji, Fitness,0,not in squad,not in squad,not in squad,not in squad,not in squad, Minor Knock, Minor Knock,0,0,0,0,0,0,not in squad,0, Knee Problems, Knee Problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pavel Kaderabek,0,0,0,0,0,0,0,0,0,0, Ligament Problems, Ligament Problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Yellow card suspension,0
Julian Weigl, Fracture-dislocation of the ankle, Fracture-dislocation of the ankle,With the 2nd team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabian Giefer,not in squad,With the 2nd team,not in squad,not in squad,not in squad,not in squad,not in squad,With the 2nd team,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,not in squad,not in squad,not in squad,not in squad, Knee Problems, Knee Problems, Knee Problems, Knee Problems,not in squad,not in squad,not in squad,not in squad,not in squad, Cold, Cold,0
Jan Morávek, Muscular problems, Fitness,0,0,0,0,not in squad,0,0, Knee Problems, Knee Problems,0,0,0,0, Influenza, Influenza,0,0,0,0,0,0,0, Calf Injury, Calf Injury,0,0,0,0, Indirect card suspension,0,0,0
Raphaël Guerreiro, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Fitness, Fitness,0,0,0,0,0,0,0,0, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre,0, Muscular problems, Muscular problems, Muscular problems, Muscular problems, Muscular problems,0, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre,0
Manuel Gulde, Back trouble, Back trouble, Back trouble, Back trouble, Back trouble, Back trouble, Back trouble, Back trouble, Back trouble, Back trouble, Back trouble, Back trouble, Back trouble, Fitness, Fitness, Fitness, Fitness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jannik Vestergaard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Ankle Injury,0,0,0,0,0, Yellow card suspension,0
David Otto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,not in squad,With U19, Knock, Knock,With U19,With U19, Knock, Knock,With U19,With U19,With U19,With U19,With U19,With U19,With U19
Onur Bulut,not in squad,0,not in squad,not in squad,not in squad,not in squad,With the 2nd team,With the 2nd team, Thigh Problems,With the 2nd team,With the 2nd team,not in squad, Lumbago,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibrahima Traoré,0,0, Torn muscle bundle, Torn muscle bundle, Torn muscle bundle, Torn muscle bundle, Torn muscle bundle,0,0,0, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre,not in squad,0,not in squad,0,0,0,0
Stefan Kießling,not in squad,0,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,0,0, Cold,0,0,0,0,0,0,0
Jonathan Tah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Influenza, Influenza,0,0,0,0,0, Muscular problems,0, Torn Muscle Fibre, Torn Muscle Fibre,0
Janik Haberer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Yellow card suspension,0,0,0,0,0,0,0,0,0,0,0,0
Thore Jacobsen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fin Bartels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Achilles tendon rupture, Achilles tendon rupture, Achilles tendon rupture, Achilles tendon rupture, Achilles tendon rupture, Achilles tendon rupture, Achilles tendon rupture, Achilles tendon rupture, Achilles tendon rupture, Achilles tendon rupture, Achilles tendon rupture, Achilles tendon rupture, Achilles tendon rupture, Achilles tendon rupture, Achilles tendon rupture, Achilles tendon rupture, Achilles tendon rupture, Achilles tendon rupture, Achilles tendon rupture
Simon Asta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shinji Kagawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Influenza, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury,0,not in squad,0
Stefan Posch,With the 2nd team,With the 2nd team, Torn Ligament, Torn Ligament, Torn Ligament,With the 2nd team,0,0,0,0,0,0,0,0, Hip Injury,0,0,0,0,not in squad,not in squad,not in squad, Pubis bone irritation, Pubis bone irritation, Pubis bone irritation, Pubis bone irritation, Pubis bone irritation, Fitness,not in squad,With the 2nd team, groin strain, groin strain, groin strain, groin strain
Roman Weidenfeller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samuel Sahin-Radlinger,With the 2nd team,With the 2nd team,not in squad,With the 2nd team,not in squad,not in squad,With the 2nd team,not in squad,With the 2nd team,With the 2nd team,With the 2nd team,0,not in squad,not in squad,not in squad,not in squad,not in squad,0,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
