,0
Abdoulaye Bamba,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Khaled Adénon,"['not in squad', 'not in squad']"
Mathieu Bodmer,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Pedro Rebocho,"['\xa0Fibula Fracture', '\xa0Fibula Fracture', '\xa0Fibula Fracture', '\xa0Fibula Fracture', 'not in squad', 'not in squad']"
Valentin Eysseric,"['not in squad', 'not in squad', 'not in squad', '\xa0Medial Collateral Ligament Injury', '\xa0Medial Collateral Ligament Injury', '\xa0Medial Collateral Ligament Injury', '\xa0Medial Collateral Ligament Injury', '\xa0Medial Collateral Ligament Injury', 'not in squad', 'not in squad', '\xa0Medial Collateral Ligament Injury', '\xa0Medial Collateral Ligament Injury']"
Kevin Trapp,"['\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Muscle Injury']"
Ola Toivonen,"['not in squad', 'not in squad']"
James Léa Siliki,[]
Raphaël Cacérès,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Keagan Dolly,"['not in squad', 'not in squad', '\xa0Calf Problems', '\xa0Calf Problems', 'not in squad']"
Younousse Sankharé,"['not in squad', 'not in squad', 'not in squad', 'With the pros']"
Nordi Mukiele,"['not in squad', 'not in squad', 'not in squad', 'not in squad']"
Romain Faivre,[]
Diego Contento,"['not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Sprained ankle', 'not in squad', 'not in squad', 'not in squad']"
Dimitry Bertaud,[]
