,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,injuries,injured games
35,Ragnar Klavan,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,not in squad,0,0,0,0,0,0,"['\xa0Knee Injury', 'not in squad', 'not in squad', '\xa0Knee Injury', 'not in squad']",2
36,Christian Benteke,0,0,0,0,0,0, Medial Collateral Ligament Injury, Medial Collateral Ligament Injury, Medial Collateral Ligament Injury, Medial Collateral Ligament Injury, Medial Collateral Ligament Injury,0,0,0,0,0,0,0, Yellow card suspension,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,"['not in squad', 'not in squad', 'not in squad', 'not in squad']",0
37,Jonjo Shelvey,0, Red card suspension, Red card suspension,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Indirect card suspension, Indirect card suspension,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,"['Suspension through sports court', 'Suspension through sports court', 'Suspension through sports court', 'Suspension through sports court', 'Suspension through sports court']",0
38,Christian Walton,0,0,0, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery,With the U21s,With the U21s,With the U21s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'International match', 'not in squad', 'not in squad', 'not in squad']",0
39,André Ayew,0,0,0,0,0,0,0,0,0,0,0, Ill,0,0,0,0,0,0,0,0,0,0,0, Hamstring Injury, Hamstring Injury, Hamstring Injury,0,0,0,0,0,0,0,0,0,0,0,0,"['\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', 'International match', 'International match', 'International match', 'International match', 'not in squad', 'Called up to national team', '\xa0Hamstring Injury', 'not in squad']",11
40,Claudio Yacob,0,not in squad,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,"['not in squad', 'not in squad']",0
41,Ander Herrera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,not in squad, Thigh Problems, Thigh Problems, Thigh Problems,0,0,0,0,0,0,0,0,"['not in squad', 'not in squad', '\xa0Yellow card suspension', '\xa0Indirect card suspension', '\xa0Indirect card suspension', 'Suspension through sports court', 'not in squad', 'not in squad']",0
42,Declan Rice,0,0,0,0,0,0,0,With the U21s,With the U21s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['not in squad', 'With the U18s', 'not in squad']",0
43,Ales Mateju,not in squad,not in squad,not in squad,With the U21s,not in squad,With the U21s,not in squad,With the U21s,With the U21s,With the U21s,With the U21s,not in squad,With the U21s,With the U21s,not in squad,With the U21s,not in squad,With the U21s,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,With the U21s,not in squad,not in squad,not in squad,With the U21s,With the U21s,With the U21s,not in squad,not in squad,With the U21s,With the U21s,With the U21s,not in squad,With the U21s,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']",0
44,Michael Carrick,not in squad,not in squad,not in squad,0,0,0, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition,not in squad,0,0,0,0,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']",0
45,Freddie Woodman,not in squad,not in squad,0,0,0,With the 2nd team,not in squad,With the 2nd team,With the 2nd team,With the 2nd team,not in squad,With the 2nd team,With the 2nd team,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,0,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['not in squad', 'not in squad', 'International match', 'not in squad', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'With the 2nd team', 'not in squad', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'not in squad', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team']",0
46,Victor Moses,not in squad,0,0,0,0,0,0,0, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['\xa0Calf Strain', '\xa0Calf Strain', 'not in squad', 'not in squad']",2
