0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Robbie Brady,,,,,,,,,,,,,,,, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury
Cohen Bramall,With the 2nd team,not in squad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claudio Bravo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miguel Britos,,,, Red card suspension, Red card suspension, Red card suspension,,,,,,,, Bruised Foot, Bruised Foot, Bruised Foot, Bruised Foot, Bruised Foot, Bruised Foot, Bruised Foot, Bruised Foot, Bruised Foot, Bruised Foot, Bruised Foot, Bruised Foot, Bruised Foot, Bruised Foot,,,,,not in squad,,,,,, Knock
Leon Britton,, Back trouble, Back trouble, Back trouble,not in squad,With the U21s,,,, Groin Injury, Groin Injury, Groin Injury,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad, Groin Strain, Groin Strain, Groin Strain, Groin Strain, Groin Strain,,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,not in squad,
Nathan Broadhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Izzy Brown,, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury,,,,,,,,,,,,,, Knee Injury, Knee Injury, Knee Injury,,,,,,,,,,,,,,,,,
Marcus Browne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyias Browning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Brunt,,,,,,,,,,,,,not in squad,not in squad,not in squad,,,,,,,,,,,,,,,,,,,,,,,
