,Press_int,Tackles,Interceptions,Blocks_int,Completed Passes,Attempted Passes,Distance Passes,Carries_int,Distance Carries,0
9447,13.0,6.0,3.0,4.0,44.0,56.0,448.0,32.0,98.0,False
9448,20.0,3.0,3.0,2.0,25.0,42.0,292.0,23.0,46.0,False
9449,16.0,0.0,2.0,3.0,58.0,73.0,347.0,48.0,90.0,False
9450,54.0,2.0,3.0,1.0,55.0,77.0,424.0,61.0,170.0,False
9451,21.0,1.0,2.0,1.0,42.0,58.0,172.0,43.0,87.0,False
9452,24.0,1.0,5.0,2.0,21.0,28.0,185.0,22.0,65.0,False
9453,19.0,1.0,1.0,1.0,29.0,36.0,185.0,27.0,43.0,False
9454,17.0,4.0,5.0,2.0,28.0,40.0,198.0,34.0,90.0,False
9455,10.0,1.0,4.0,3.0,40.0,46.0,389.0,34.0,85.0,False
9456,15.0,2.0,0.0,1.0,15.0,23.0,76.0,15.0,34.0,False
9457,38.0,1.0,2.0,3.0,14.0,23.0,71.0,19.0,34.0,False
9458,9.0,0.0,0.0,0.0,21.0,25.0,149.0,21.0,40.0,False
9460,39.0,4.0,3.0,2.0,49.0,62.0,323.0,44.0,85.0,False
9461,16.0,1.0,3.0,1.0,38.0,45.0,247.0,37.0,60.0,False
9462,31.0,2.0,1.0,4.0,36.0,51.0,293.0,35.0,62.0,False
9463,26.0,1.0,1.0,1.0,39.0,53.0,324.0,40.0,83.0,False
9464,22.0,3.0,2.0,3.0,19.0,26.0,72.0,26.0,49.0,False
9465,17.0,3.0,1.0,1.0,13.0,23.0,143.0,15.0,18.0,False
9466,12.0,3.0,6.0,1.0,46.0,58.0,235.0,42.0,85.0,False
9467,18.0,2.0,1.0,1.0,43.0,52.0,308.0,38.0,73.0,False
9468,13.0,1.0,1.0,1.0,33.0,42.0,153.0,33.0,55.0,False
9469,14.0,2.0,6.0,5.0,34.0,43.0,204.0,27.0,84.0,False
9470,16.0,1.0,1.0,3.0,23.0,30.0,102.0,23.0,42.0,False
9471,16.0,2.0,5.0,3.0,59.0,69.0,425.0,57.0,172.0,False
9472,24.0,0.0,0.0,2.0,20.0,30.0,113.0,33.0,75.0,False
9473,11.0,2.0,0.0,1.0,37.0,49.0,144.0,49.0,215.0,False
9474,27.0,0.0,0.0,2.0,19.0,32.0,100.0,33.0,71.0,False
9475,31.0,1.0,0.0,0.0,18.0,21.0,49.0,20.0,65.0,False
9476,26.0,1.0,0.0,1.0,33.0,41.0,140.0,45.0,152.0,False
9477,16.0,1.0,0.0,0.0,14.0,23.0,35.0,22.0,56.0,False
9478,1.0,1.0,0.0,0.0,7.0,10.0,6.0,8.0,10.0,False
9479,29.0,2.0,0.0,0.0,22.0,40.0,86.0,44.0,161.0,False
9480,18.0,1.0,0.0,4.0,13.0,23.0,27.0,25.0,26.0,False
9481,15.0,1.0,0.0,1.0,23.0,35.0,94.0,33.0,103.0,False
9482,14.0,5.0,0.0,4.0,22.0,32.0,95.0,34.0,216.0,False
9483,27.0,3.0,0.0,1.0,29.0,37.0,51.0,33.0,120.0,False
9485,21.0,2.0,0.0,2.0,20.0,32.0,88.0,35.0,154.0,False
9486,13.0,0.0,3.0,0.0,29.0,36.0,63.0,37.0,85.0,False
9487,3.0,1.0,1.0,1.0,11.0,13.0,17.0,14.0,38.0,False
9488,23.0,0.0,0.0,2.0,21.0,33.0,39.0,28.0,60.0,False
9489,17.0,1.0,0.0,1.0,26.0,32.0,85.0,37.0,108.0,False
9490,14.0,0.0,3.0,1.0,22.0,32.0,96.0,33.0,63.0,False
9491,13.0,3.0,3.0,0.0,19.0,28.0,84.0,27.0,65.0,False
9492,23.0,1.0,0.0,5.0,33.0,47.0,190.0,44.0,120.0,False
9493,5.0,0.0,0.0,0.0,11.0,13.0,39.0,9.0,28.0,False
9494,42.0,3.0,2.0,2.0,30.0,41.0,179.0,31.0,113.0,False
