,Min,Sh,SoT,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1
5701,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
5702,90,0,0,62,12,0,0,4,0.0,0.0,0.0,2,0,34,48,70.8,86,33,84,1,2
5703,90,1,0,49,20,1,3,4,0.0,0.0,0.1,4,1,21,37,56.8,86,27,79,2,5
5704,10,0,0,8,2,0,1,0,0.0,0.0,0.0,1,0,4,7,57.1,44,5,2,0,0
5705,90,0,0,48,40,3,2,3,0.0,0.0,0.0,1,0,25,35,71.4,180,29,153,1,2
5706,90,1,0,71,21,5,2,1,0.1,0.1,0.1,2,0,37,58,63.8,157,41,127,1,3
5707,90,0,0,36,11,2,1,0,0.0,0.0,0.0,0,0,17,30,56.7,88,18,58,2,2
5708,90,2,1,57,10,1,1,5,0.1,0.1,0.0,2,1,32,48,66.7,216,36,145,0,1
5709,83,0,0,31,12,0,1,3,0.0,0.0,0.0,2,0,16,23,69.6,112,17,58,0,1
5710,90,2,1,64,18,4,0,2,0.1,0.1,0.0,1,1,30,53,56.6,262,28,93,1,1
5711,68,1,0,41,10,1,1,2,0.0,0.0,0.3,2,0,26,36,72.2,137,26,71,1,1
5712,45,0,0,23,5,0,0,0,0.0,0.0,0.0,0,0,13,22,59.1,61,15,18,0,0
5713,90,0,0,40,14,1,1,0,0.0,0.0,0.0,0,0,24,35,68.6,147,28,117,1,1
5714,90,2,1,69,11,2,2,1,0.1,0.1,0.4,4,0,43,58,74.1,207,54,254,4,5
5715,68,1,0,30,13,1,0,1,0.1,0.1,0.2,1,0,14,20,70.0,115,24,66,2,3
5716,69,0,0,36,4,1,1,1,0.0,0.0,0.1,5,0,26,29,89.7,153,26,106,3,4
5717,62,1,0,22,16,1,0,2,0.0,0.0,0.0,0,0,13,17,76.5,83,20,80,0,0
5718,10,0,0,5,5,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,12,6,27,1,1
