0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Ignazio Abate,0,0,0,0,0,0,0,0,0,0,0,0,0, Achilles tendon problems,0,0,0,0, Calf Problems, Calf Problems,0,0,0,0,0,0,0, Muscular problems, Muscular problems, Muscular problems,0,0,0,0,0,0,0,0
Filippo Costa,0,not in squad,0,0,0,0,0,0,0,0,0,0, Leg Injury, Leg Injury, Leg Injury, Leg Injury, Leg Injury, Leg Injury, Leg Injury,0,0,0,0,0,0,0,0,0,0,0,0,0, Muscular problems, Muscular problems,0,0,0,0
Danilo Avelar,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrea Belotti,0,0,0,0,0,0,0, Knee Injury, Knee Injury, Knee Injury,0,0,0,0,0,0,0,0, Knee Injury, Knee Injury, Knee Injury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giuseppe Borello,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miguel Veloso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0, Muscle Injury, Muscle Injury, Muscle Injury, Muscle Injury, Muscle Injury, Muscle Injury, Muscle Injury, Muscle Injury, Muscle Injury, Muscle Injury,0,0,0,0,0,0
Rafael,not in squad,not in squad, Wirst Injury, Wirst Injury, Wirst Injury, Wirst Injury, Wirst Injury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cristian Dell'Orco, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture,0,0,0,With U19,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loïck Landre,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,not in squad,0,0,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
Davide Borsellini,0,0,0,0,0,0,0,0,0,0,0,not in squad,not in squad,0,0,0,not in squad,not in squad,not in squad,0,0,not in squad,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,0
Nicolas N'Koulou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Silva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Medial Collateral Ligament Injury, Medial Collateral Ligament Injury, Medial Collateral Ligament Injury,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Barreca,0,0,0,0, Muscular problems, Muscular problems, Muscular problems, Muscular problems,0,0, Red card suspension, Unknown Injury, Unknown Injury,With U19,0,0,0,0, Pubalgia, Pubalgia,0,0,0,0,0,0,0,0,0,0,0,0,0, Muscle Fatigue, Muscle Fatigue,0,0,0
Andrea Romagnoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vasco Regini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domenico Maietta,0,0,0,not in squad,not in squad,0,0, Fracture,0,0,0,0,0,0,0,0,0,0,0, Flu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
